name,item_num,rating,price
Marmot Ollan 20 Sleeping Bag - Men's,Item #223991,5.0, $188.73
Marmot Ollan 20 Sleeping Bag - Men's Long,Item #223992,0.0, $197.73
Mountain Equipment Nova II Sleeping Bag - Women's Long,Item #205567,0.0, $121.73
ALPS Mountaineering Iron Ridge Cook Station,Item #213482,5.0, $194.73
FORE WINDS Luxe Camp Stove,Item #232056,5.0, $129.73
Ledlenser ML6 Rechargeable Electric Lantern,Item #234517,0.0, $62.73
CamelBak Hot Cap Insulated Stainless-Steel Travel Mug - 20 fl. oz.,Item #235022,0.0, $19.73
ALPS Mountaineering Equinox Quilt,Item #193056,4.1, $74.73
Marmot Limestone 6P Tent,Item #229817,5.0, $369.73
MSR Titan 2 Pot Set,Item #227789,4.7, $119.73
ALPS Mountaineering Camp Creek 4 Tent,Item #193085,2.0, $178.73
Princeton Tec Snap Solo Headlamp,Item #232273,0.0, $29.73
Granite Gear Perimeter 50 Pack - Women's,Item #234177,0.0, $174.73
Osprey Heritage Waist Pack,Item #233348,0.0, $49.73
Mountain Equipment Starlight I Sleeping Bag - Women's Long,Item #205575,0.0, $116.73
Cedar Ridge Alloy 20 Sleeping Bag,Item #213492,4.5, $41.73
ALPS Mountaineering Paragon 2 Tent,Item #213431,3.0, $166.73
Sea to Summit Mesh Stuff Sack - Set of 3,Item #230602,0.0, $27.73
Trekmates Bomberlite Sleeping Pad,Item #208021,2.0, $53.73
NEMO Riff 15 Sleeping Bag - Women's,Item #233413,0.0, $321.73
NEMO Riff 15 Sleeping Bag - Men's,Item #233411,0.0, $321.73
Ledlenser MH5 Headlamp,Item #196359,2.4, $34.73
Mountain Equipment Nova II Sleeping Bag - Men's Long,Item #205565,0.0, $151.73
Mountain Equipment Starlight II Sleeping Bag - Men's Long,Item #205569,0.0, $100.73
Big Agnes Sand Wash Car Tarp,Item #232440,0.0, $299.73
GSI Outdoors Cascadian 4-Person Table Set,Item #232062,4.0, $24.73
Klymit Pillow X,Item #229022,2.3, $19.73
Pepper's Carlita Polarized Sunglasses - Women's,Item #233485,0.0, $29.73
ALPS Mountaineering Torrent Dry Bag - 20 Liter,Item #185074,0.0, $20.73
ALPS Mountaineering Flexcore Air Pad - Long,Item #213446,3.0, $46.73
ALPS Mountaineering Adventure Chair,Item #184963,4.2, $46.73
Klymit Insulated Hammock V Sleeping Pad,Item #229012,0.0, $139.73
Big Agnes Mica Basin Camp Chair - XL,Item #223032,2.3, $139.73
GSI Outdoors MicroLite 1000 Twist Vacuum Water Bottle - 32 fl. oz.,Item #232070,0.0, $24.73
Marmot WarmCube Gallatin 20 Sleeping Bag,Item #229813,4.7, $274.73
NEMO Riff 30 Sleeping Bag - Women's,Item #233414,0.0, $269.73
CamelBak Carry Cap Insulated Stainless-Steel Bottle - 64 fl. oz.,Item #235024,0.0, $29.73
Mountain Equipment Starlight I Sleeping Bag - Women's,Item #205574,4.0, $132.73
Tifosi Shirley Sunglasses - Women's,Item #233760,0.0, $14.73
Patagonia Organic Cotton Towel,Item #231476,0.0, $43.73
Ledlenser Kidcamp6 Electric Lantern,Item #234511,0.0, $13.73
Zempire Kitpack Spike Table,Item #227877,2.5, $63.73
Ledlenser MH10 Headlamp with Flex 3 Power Bank,Item #234513,0.0, $83.73
Ledlenser P6R Core Rechargeable Flashlight,Item #234519,0.0, $62.73
Cedar Ridge Cobalt Springs 25 Sleeping Bag,Item #234427,3.0, $48.73
ALPS Mountaineering Camp Creek 6 Two-Room Tent,Item #184983,3.5, $238.73
Alpine Mountain Gear Weekender Tent 6,Item #189282,3.9, $117.73
Osprey Heritage Simplex 20 Pack,Item #233347,0.0, $104.73
Mountain Equipment Starlight I Sleeping Bag - Men's Long,Item #205573,0.0, $105.73
ALPS Mountaineering Camp Creek 6 Tent,Item #184981,3.4, $208.73
Esbit Titanium Stove,Item #231018,4.3, $20.73
Mountain Equipment Starlight I Sleeping Bag - Men's,Item #205572,0.0, $100.73
Mazama Designs INTAKE LT Reservoir - 2 Liters,Item #228463,3.0, $15.73
GSI Outdoors MicroLite 1000 Twist Vacuum Water Bottle - 32 fl. oz.,Item #232071,0.0, $24.73
Mountainsmith Antero +35 Sleeping Bag,Item #174080,1.0, $64.73
ALPS Mountaineering Flexcore Air Pad - XL,Item #213447,2.3, $63.73
ALPS Mountaineering Lightweight Cot,Item #151568,3.6, $59.73
GSI Outdoors MicroLite 500 Twist Vacuum Water Bottle - 17 fl. oz.,Item #232077,0.0, $19.73
Dragon Baile Sunglasses,Item #229123,0.0, $80.73
Mountain Summit Gear Self-Inflating 3.5 Camp Pad - Extra Large,Item #131197,3.5, $86.73
Smith Attack MAG MTB ChromaPop Sunglasses,Item #226971,2.3, $141.73
The North Face Wawona Fuzzy Blanket,Item #234212,4.9, $84.73
Komperdell Cross Stick Trekking Poles - Pair,Item #213013,1.0, $163.73
Mountainsmith Upland 6 Tent,Item #174089,1.8, $163.73
ALPS Mountaineering Oasis Sleeping Pad,Item #168410,3.3, $76.73
Osprey Hydraulics Lumbar Reservoir - 1.5 Liters,Item #233344,0.0, $21.73
Outdoor Research PackOut Graphic Dry Bag - 10 L,Item #229003,5.0, $21.73
Ledlenser P2R Core Flashlight,Item #234518,0.0, $20.73
Outdoor Research PackOut Graphic Dry Bag - 8 L,Item #229002,5.0, $19.73
Outdoor Research PackOut Graphic Dry Bag - 15 L,Item #229004,0.0, $22.73
Mountain Hardwear ACI 3 Footprint,Item #231759,0.0, $64.73
Dragon Rune Sunglasses,Item #229119,5.0, $63.73
GSI Outdoors Microlite 720 Twist Vacuum Water Bottle - 24 fl. oz.,Item #232075,0.0, $20.73
ALPS Mountaineering Swift Insulated Air Mat,Item #168419,3.8, $55.73
Gregory 3D Hydro Trek Hydration Reservoir - 3 Liters,Item #227894,1.0, $35.73
GSI Outdoors Cascadian 1-Person Table Set,Item #232040,0.0, $11.73
Outdoor Research PackOut Graphic Stuff Sack - 35 L,Item #228992,5.0, $24.73
ALPS Mountaineering Fusion 40 Sleeping Bag,Item #185031,2.6, $95.73
ALPS Mountaineering Camp Creek 4 Floor Saver Footprint,Item #184980,4.0, $19.73
Dragon Sparrow Sunglasses,Item #229120,0.0, $91.73
Dragon Count Sunglasses,Item #229110,0.0, $91.73
Mountain Equipment Lunar I Sleeping Bag - Women's Long,Item #205583,0.0, $90.73
Deuter Fox 40 + 4L Pack - Kids',Item #205762,0.0, $96.93
CamelBak MultiBev Insulated Water Bottle - 22 fl. oz.,Item #235020,0.0, $37.73
Black Diamond Shot 11 Pack,Item #231806,0.0, $74.73
ALPS Mountaineering Paragon 2 Footprint,Item #213435,0.0, $21.73
Dragon Melee Polarized Sunglasses,Item #229116,1.0, $63.73
ALPS Mountaineering Camp Creek 6 Floor Saver Footprint,Item #184982,5.0, $30.73
Trekmates Mountain Pod Emergency Shelter - L,Item #205540,3.5, $58.73
Outdoor Research PackOut Graphic Stuff Sack - 20 L,Item #228991,5.0, $18.73
ALPS Mountaineering Eclipse Tic-Tac-Toe Table,Item #213480,3.5, $51.73
Outdoor Research PackOut Graphic Stuff Sack - 10 L,Item #228959,5.0, $15.73
ALPS Mountaineering Trail Tent Footprint,Item #213436,1.0, $21.73
ALPS Mountaineering Camp Pillow - Large,Item #213452,2.5, $13.73
ALPS Mountaineering Versa Pillow,Item #185084,4.3, $13.73
Mammut Ducan Spine 55 Pack - Women's,Item #235338,0.0, $179.73
Mammut Ducan Spine 55 Pack,Item #235336,0.0, $179.73
ALPS Mountaineering PolyCotton Sleeping Bag Liner,Item #234426,0.0, $20.73
ALPS Mountaineering Brushed Polyester Sleeping Bag Liner,Item #234425,0.0, $16.73
NEMO Victory Sunshade,Item #233424,0.0, $149.73
NEMO Switch 2P Footprint,Item #233423,0.0, $51.73
NEMO Switch 2P Tent,Item #233422,0.0, $224.73
Osprey Heritage Aether 30 Pack,Item #233345,0.0, $134.73
Big Agnes Goosenest Cot Double-Wide Accessory Cover,Item #232454,0.0, $59.73
Big Agnes Goosenest Cot Single-Wide Accessory Cover,Item #232453,0.0, $36.73
Big Agnes Goosenest Inflatable Cot,Item #232452,0.0, $224.73
Big Agnes Deep Creek Tarp,Item #232442,0.0, $224.73
Big Agnes C Bar 2 Footprint,Item #232435,0.0, $29.73
GSI Outdoors Infinity 1-Person Table Set,Item #232063,0.0, $22.73
Dragon Juniper Sunglasses,Item #229126,0.0, $68.73
Dragon Baile XL Polarized Sunglasses,Item #229125,0.0, $119.73
Dragon Baile XL H2O Polarized Sunglasses,Item #229124,0.0, $137.73
Dragon Wilder LL Sunglasses,Item #229122,0.0, $84.73
Dragon Tracer X Sunglasses,Item #229121,0.0, $169.73
Dragon Ridge X Sunglasses,Item #229118,0.0, $169.73
Dragon Monarch XL Sunglasses,Item #229117,0.0, $99.73
Dragon Kodiak Sunglasses,Item #229115,0.0, $91.73
Dragon Kodiak Sunglasses,Item #229114,0.0, $91.73
Dragon Eden Sunglasses,Item #229113,0.0, $91.73
Dragon Drac Sunglasses,Item #229112,0.0, $99.73
Outdoor Research PackOut Graphic Stuff Sack - 15 L,Item #228960,4.7, $16.73
Smith Flywheel ChromaPop Sunglasses,Item #226975,4.0, $110.73
Big Agnes Sidewinder SL 35 Sleeping Bag - Women's,Item #223008,0.0, $199.73
Big Agnes Big House 4 Vestibule,Item #222997,5.0, $90.73
ALPS Mountaineering Adventure Chair,Item #213476,0.0, $56.73
Mountain Equipment Starlight II Sleeping Bag - Women's Long,Item #205571,0.0, $113.73
Mountain Equipment Nova II Sleeping Bag - Women's,Item #205566,0.0, $201.73
Exped Mira II HL Footprint,Item #203769,3.8, $51.73
Mountain Equipment Starlight II Sleeping Bag - Men's Long,Item #199438,1.0, $103.73
ALPS Mountaineering Taurus 6 Tent,Item #193087,3.8, $224.73
ALPS Mountaineering Dayventure Waterproof Blanket,Item #193055,4.0, $34.73
ALPS Mountaineering Meramac 6 Floor Saver Footprint,Item #185046,3.5, $36.73
ALPS Mountaineering Meramac 4 Floor Saver Footprint,Item #185042,0.0, $22.73
ALPS Mountaineering Camp Creek Two-Room Floor Saver Footprint,Item #184978,0.0, $37.73
Mountainsmith Cottonwood 6-Person Tent,Item #144789,2.3, $172.73
NEMO Stargaze Reclining Camp Chair,Item #216203,4.1, $209.93
Osprey Talon 22 Pack - Men's,Item #177573,4.5, $160.00
Hydro Flask Standard-Mouth Vacuum Water Bottle with Flex Cap - 24 fl. oz.,Item #111143,4.7, $39.95
Osprey Tempest 20 Pack - Women's,Item #177574,4.2, $119.93
Osprey Sirrus 36 Pack - Women's,Item #201314,3.5, $220.00
Osprey Tempest 30 Pack - Women's,Item #184947,4.8, $139.93
Gregory Nano 22 H2O Hydration Pack,Item #218023,4.5, $66.93
Hydro Flask Coffee with Flex Sip Lid - 20 fl. oz.,Item #169962,4.3, $34.95
REI Co-op Flannel/Fleece Blanket,Item #193589,4.6, $59.95
Rumpl Sherpa Fleece Puffy Blanket,Item #195146,4.7, $103.93
Gregory Nano 18 H2O Hydration Pack,Item #218021,4.7, $79.95
Osprey Talon 36 Pack - Men's,Item #184944,5.0, $149.93
CamelBak Arete 18 Hydration Pack,Item #201807,4.1, $75.00
Osprey Stratos 36 Pack - Men's,Item #201311,3.2, $220.00
Nomadix Festival Blanket,Item #187193,4.8, $69.95
ENO DoubleNest Giving Back Printed Hammock,Item #202540,4.6, $84.95
Rumpl Down Puffy Blanket,Item #169971,4.4, $185.93
Osprey Talon 11 Pack - Men's,Item #184942,4.4, $99.93
Deuter Speed Lite 21 Pack,Item #205764,4.7, $59.93
Osprey Ariel Plus 70 Pack - Women's,Item #177571,5.0, $306.93
Osprey Ariel Plus 60 Pack - Women's,Item #177500,0.0, $291.93
REI Co-op Flash 22 Print Pack,Item #201966,4.2, $29.83
CGear Multimats Sandlite Sand-Free Mat,Item #130162,4.4, $48.93
Marmot Limestone 6-Person Tent,Item #217798,2.9, $529.00
Hydro Flask Wide-Mouth Vacuum Water Bottle - 32 fl. oz.,Item #168732,4.6, $30.93
Cocoon AirCore Ultralight Travel Pillow,Item #205188,3.8, $36.95
Gregory Nano 22 H2O Hydration Pack - Plus Size,Item #218024,4.5, $66.93
Neso Sidelines Grande Sunshade,Item #187617,3.4, $134.95
Coghlan's Camper's S'mores Grill,Item #220674,2.5, $7.93
Noso National Park Patch,Item #207637,4.0, $6.93
Nite Ize CamJam Cord Tightener - 2-Pack with 8 Ft. Cord,Item #856612,3.5, $4.93
Hotronic Heat-Ready Insoles,Item #731088,3.7, $8.93
Osprey IsoForm5 CM Custom Moldable Hipbelt - Women's,Item #111306,0.0, $9.83
Sunday Afternoons UVShield Cool Face Mask,Item #213170,4.3, $3.73
Sunday Afternoons UVShield Cool Face Mask - Package of 2,Item #213202,4.4, $5.73
PackTowl Luxe Face Towel,Item #227752,3.0, $9.73
GSI Outdoors Infinity Stacking Cup,Item #232069,5.0, $3.73
Esbit Emergency Stove with 3 Fuel Cubes,Item #231017,3.0, $6.73
GSI Outdoors Cup - 24 fl. oz.,Item #232038,2.5, $4.73
GSI Outdoors Pint Glass,Item #232079,0.0, $3.73
GSI Outdoors Infinity Mug,Item #232066,0.0, $3.73
GSI Outdoors Infinity Serving Bowl,Item #232068,0.0, $3.73
GSI Outdoors Infinity Plate,Item #232067,0.0, $3.73
GSI Outdoors Infinity Bowl,Item #232064,0.0, $3.73
GSI Outdoors Infinity Divided Plate,Item #232065,0.0, $3.73
Sunday Afternoons Artist Series Face Mask - Kids',Item #213169,5.0, $1.73
NEMO Javelin Tent Stake,Item #233425,0.0, $5.73
