name,item_num,rating,price
Arc'teryx Aerios 30 Pack - Women's,Item #216648,4.2, $141.93
Mountain Hardwear PCT 55 L Pack - Men's,Item #184903,4.0, $209.93
Poler 2+ Person Tent,Item #196293,3.9, $195.93
MSR Titan Kettle,Item #649902,4.6, $48.93
Morrison Outdoors Little Mo 20 Baby Sleeping Bag - Infants',Item #179505,4.0, $111.93
Petzl Noctilight Headlamp Case,Item #109954,5.0, $13.93
Exped Stormrunner 25 Pack,Item #216591,0.0, $69.93
Puffin Hoodie Drinkwear,Item #207092,5.0, $15.93
REI Co-op Flash 15 Hydration Vest,Item #201968,4.5, $89.93
Knockaround Premiums Polarized Sunglasses - Loud and Proud,Item #227741,4.9, $18.93
MYSTERY RANCH Glacier Pack - Men's,Item #144965,4.6, $279.93
FORE WINDS Savor Butane Stove,Item #215677,5.0, $44.93
Osprey UNLTD AirScape 68 Pack - Women's,Item #206700,4.0, $524.93
Ruffwear Undercoat Water Jacket,Item #196955,4.6, $55.93
Gregory Kalmia 60 Pack - Women's Plus Sizes,Item #187527,4.9, $229.93
Black Diamond Pursuit 15 Pack - Women's,Item #216636,0.0, $109.93
Petzl Poche Headlamp Pouch,Item #793269,4.7, $13.93
MSR Big Titan Kettle - 2 Liters,Item #114885,3.1, $69.93
Mountainsmith Strapettes,Item #671335,4.5, $19.93
SOL Flat Pack Gear Tub,Item #207902,0.0, $25.93
Morrison Outdoors Big Mo 20 Kids' Sleeping Bag - Toddlers',Item #178515,4.6, $125.93
RovR Products HoldR Umbrella Support,Item #177187,4.3, $29.93
MYSTERY RANCH Glacier Pack - Women's,Item #144966,4.6, $279.93
CEP Max Support Compression Knee Sleeve,Item #221434,0.0, $48.93
Mombasa Nimbus Mosquito Net,Item #729005,4.0, $27.93
REI Co-op Flash Air 2 Footprint,Item #216341,5.0, $26.83
The North Face Wawona Front Porch Vestibule,Item #206322,2.5, $138.93
REI Co-op Flash 2 Footprint,Item #216342,4.3, $26.83
MSR Reflective Utility Cord Kit,Item #829844,4.3, $24.93
MSR E-Bivy,Item #147258,3.3, $93.93
Hydro Flask Limited Edition Polar Ombre Wide-Mouth Vacuum Water Bottle with Flex Cap - 24 fl. oz.,Item #209437,5.0, $27.93
REI Co-op Passage 2/Trail Hut 2/Groundbreaker 2 Footprint,Item #168206,3.8, $27.93
IceMule Clear 15 L Cooler,Item #218851,5.0, $81.93
Ursack Aluminum Bear Sack Liner - 10 Liters,Item #895693,3.3, $21.93
MSR Universal Footprint 3 Large,Item #147310,2.7, $30.83
Ursack Aluminum Bear Sack Liner - 15 Liters,Item #182980,0.0, $24.93
Better Battery Co. Better Battery Pack,Item #225041,0.0, $29.93
REI Co-op Flash Air 2 Footprint,Item #168567,3.8, $29.83
REI Co-op Flash Air 1 Footprint,Item #216320,5.0, $21.83
FORE WINDS Eastern Grill Plate,Item #215678,0.0, $41.93
Hydro Flask Tag Along Bottle Sling - Medium,Item #190457,4.6, $27.93
REI Co-op Flash Air 1 Footprint,Item #168566,4.4, $24.83
MSR Universal Footprint 1 Large,Item #147306,2.7, $25.83
REI Co-op Kindercamp 40 Sleeping Bag - Kids',Item #193018,4.3, $51.93
Mountain Hardwear AMG 105 Pack,Item #166787,3.9, $314.93
Sea to Summit Comfort Plus Self-Inflating Sleeping Pad,Item #230578,5.0, $117.73
Mountainsmith Day Lumbar Pack,Item #218742,4.0, $69.93
Gregory Wander 70 Pack - Kids',Item #145655,4.9, $159.93
Ruffwear Swamp Cooler Dog Harness,Item #205489,4.3, $48.93
NEMO Aurora 2P Tent with Footprint,Item #233420,4.6, $224.73
Mountain Hardwear Bishop Pass GORE-TEX 0 Sleeping Bag,Item #194124,4.7, $351.93
REI Co-op Pride Flannel/Fleece Blanket,Item #219197,4.6, $41.93
Deuter Speed Lite 30 Pack - Men's,Item #205766,5.0, $109.93
Mountain Hardwear PCT 50 L Pack - Women's,Item #184904,4.7, $209.93
Gregory Kalmia 50 Pack - Women's,Item #186663,4.6, $209.93
Osprey IsoForm5 Pack Harness Shoulder Straps - Women's,Item #111308,0.0, $11.83
Osprey UNLTD AntiGravity 64 Pack - Women's,Item #206781,0.0, $524.93
Osprey BioForm4 Shoulder Straps - Women's,Item #846423,0.0, $12.83
Osprey Hikelite 18 Pack,Item #229030,4.2, $69.73
Deuter AC Lite 22 SL Pack - Women's,Item #186341,4.7, $89.93
Arc'teryx Aerios 45 Pack - Men's,Item #216643,4.2, $186.93
CamelBak Rim Runner X 20 Hydration Pack - Women's,Item #201810,4.3, $59.83
Gregory Inertia 24 H2O Hydration Pack - Men's,Item #203245,4.2, $89.93
Mountainsmith Tour Lumbar Pack,Item #218744,3.0, $59.93
Osprey IsoForm4 Shoulder Straps - Women's,Item #846430,0.0, $10.83
Gregory Katmai 65 Pack - Men's,Item #186660,4.9, $229.93
YETI Rambler Stackable Cup with Straw Lid - 26 fl. oz.,Item #228387,4.6, $25.93
NEMO Forte 20 Sleeping Bag - Women's Long,Item #229129,4.4, $164.73
Gregory Baltoro 65 Pack - Men's,Item #222440,4.7, $224.73
